split,episode_id,task,mechanism_label,expected_route,first_expected_step,first_model_derived_step,lead_time_positive_is_early,model_alerted
train,NeedlePick::perception_bias::monitor_corrected::43004::0,NeedlePick,visual_estimation_bias,reobserve_reestimate,0.0,0.0,0.0,True
train,NeedlePick::perception_bias::perturbed::43000::0,NeedlePick,visual_estimation_bias,reobserve_reestimate,0.0,0.0,0.0,True
train,NeedlePick::perception_bias::perturbed::43001::0,NeedlePick,visual_estimation_bias,reobserve_reestimate,0.0,0.0,0.0,True
test,NeedlePick::perception_bias::perturbed::43002::0,NeedlePick,visual_estimation_bias,reobserve_reestimate,0.0,0.0,0.0,True
test,NeedlePick::perception_bias::perturbed::43003::0,NeedlePick,visual_estimation_bias,reobserve_reestimate,0.0,0.0,0.0,True
test,NeedlePick::perception_bias::perturbed::43004::0,NeedlePick,visual_estimation_bias,reobserve_reestimate,0.0,0.0,0.0,True
train,NeedleReach::none::clean::43000::0,NeedleReach,nominal,continue,,,,False
train,NeedleReach::none::clean::43001::0,NeedleReach,nominal,continue,,,,False
train,NeedleReach::none::clean::43002::0,NeedleReach,nominal,continue,,,,False
test,NeedleReach::none::clean::43003::0,NeedleReach,nominal,continue,,,,False
test,NeedleReach::none::clean::43004::0,NeedleReach,nominal,continue,,,,False
